Timestamp,Annotator #1 Code,Annotator #2 Code,Story Code,Story Name,Plot Summary (25-50 words),Author Code,Second author code (if applicable),In what order are the investigation and reveal portions provided?,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,"More Than Two Detectives? (If yes, enter total number)",Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,"More Than Two Assistants? (If yes, enter total number)",Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Are one or more culprits introduced into the story only during the reveal?,The main culprit,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,The story's main action focuses on a,When do(es) the crime(s)/mystery being investigated occur?,Types of crimes or quasi-crimes present in story,Motives,Means (murder only),Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Did either annotator personally correctly guess the solution to the crime before the reveal?,Types of clues,What is the essential clue in the story (if present)?,Of what type is the essential clue (if present)?,What is the most salient clue in the story (if clues are present)?,Of what type is the most salient clue (if clues are present)?,Describe the main red herring (if present),Of what type is the main red herring (if present)?,Presence of planted or fabricated evidence,Types of evidence made available in the story,Is the crime solved?,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,How satisfying is this story as a piece of detective fiction?,Would you recommend this story to a friend?,"Upload plain text file here, named as [STORY CODE].txt",Crime trajectory,"What is the ""reveal border"" sentence?"
2021-07-09T15:01:08Z,MS,AMB,ATT07,The Forged Cheque,"Mr. Muirhead finds a cheque for 500 pounds in his handwriting, but he can’t remember having written it. He lives with his wife, and his niece and nephew, whom he adopted after they became orphaned. Could it be that his nephew has inherited the wickedness of his late father?",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,,,,1,1,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Before the investigation,"Theft, Fraud, Forgery","Greed, Love",NA,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The forged cheque contained traces of Mary Crossley’s handwriting.,Physical clue,Mary looks careworn.,Physical clue,"Nephew has access to uncle’s chequebook, works for him, and the frauds were spread over a considerable period, beginning about six months after he had entered the business.",Physical clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,https://drive.google.com/open?id=1yE6tYOAL80A3-ZRxJxB1VRdoSOyC5fHi,Qrime → same qrime,Your nephew is absolutely innocent.'
2021-07-09T15:02:38Z,SO,WW,ATT19,The Mysterious Passenger,"Right before it leaves harbour, a cruise ship is boarded by Walter Bilby, a gentleman with a mysterious influence over the captain, who demands Bilby get a private cabin. Though reticent about his own past, Bilby soon attracts many aboard the ship, including the charming Miss Veronica Broadwood.",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,,1,0,0,0,No,Acts on behalf of a crime syndicate,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Fraud, Forgery",Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Ms. Broadwood's inability to sew,Physical clue,Ms. Broadwood's nervousness when her light luggage is searched,Physical clue,Mr. Walter Bilby's suspicious behaviour,Physical clue,NA,Physical evidence,Yes,No,Yes,3,No,https://drive.google.com/open?id=1Z5_UftPGVu9BIWtm4JObO14-nHftJGR2,No qrime → qrime,"The leader was the celebrated New York detective Josh Bryant, and the others were policemen, who, thanks to 'Mr. Bilby,' otherwise Tyler Tatlock, had thus swept into their net a nest of notorious scoundrels, including one of the cleverest forgers in the world, Jack Humphrey by name, but who had passed under as many aliases as there are days in the year, the latest being 'Miss Broadwood.'"
2021-07-09T15:14:18Z,MS,AMB,ATT08,The Gold-Seeker's Strange Fate: An Astounding Romance of Real Life,"Dick Reesland ran away from home when he was a boy, and wrote regularly from far-flung places. But now that Dick has inherited his uncle’s fortune, his elderly mother wants him to return and claim what is legally his- except nobody knows where Dick is now.",JEPM,NA,Other,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,,0,0,0,0,NA,NA,A private client,Police are not present,NA,During the investigation,NA,NA,NA,No,No,No,Usable in real time (usable → usable),NA,NA,NA,NA,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,1,No,https://drive.google.com/open?id=1kSt1nRJ4titfbObC7N41jjhBHxdkP1uU,No qrime → no qrime,"Unless I am very much mistaken, I am addressing Dick Reesland.'"
2021-07-09T15:14:30Z,SO,WW,ATT20,The Stolen Picture,"(Anti-Semitism; Xenophobia) A conniving English lady uses a sob story to emotionally pummel a Bolognese Jew for a discounted price on a painting. However, the painting goes missing on the various intracontinental trains! Who could have done such an act?",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,,2,0,0,0,Yes,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Fraud",Greed,NA,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",The visit by Weinberg’s son a few days after Madame Irene makes her purchase.,Testimonial clue,The painting wasn't on any trainline,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,https://drive.google.com/open?id=1X0hVMhL1I0uroFUu04QXYY66Osjq16ZO,Qrime → same qrime,"In less than a week of the date of despatch of this letter to Madame, Tyler Tatlock was in Milan, and one evening, accompanied by two gendarmes and an Italian detective, armed with the necessary legal authority for a domiciliary visit, he went to an old house in the Rue Cavour"
2021-07-09T15:24:34Z,SO,WW,ATT21,The Private Secretary,"A woman and her daughter are murdered after eating some rabbit pie, and not because of its taste. What does that have to do with a young woman's lengthy engagement?",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,,,,1,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Fraud","Greed, Pride",Poison,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The gentleman's shirt marked with the initials G.M.,Physical clue,The gentleman's shirt marked with the initials G.M.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1e46bUx4OtU8LsVg31aB1824gIg-0KHzA,Qrime → same qrime,"Tatlock laid all the facts as he had gathered them up before the authorities, but they did not seem able to make up their minds as to whether or not Gabriel Merton, Alfred Smalley, and William Smith were one and the same. But Tatlock never wavered nor doubted."
2021-07-12T15:27:26Z,MAL,JM,ATT11,The Mystery of the Gravel Pits Farm,"While a farm is being demolished to allow the passage of a train, a body is found, fully preserved by the turf present around the house. The corpse is soon identified, it is one of the brothers who used to live in the farm, and a hole in his crane immediately indicates that a murder has been commited.",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,,,1,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Assault, Breaking and entering","Revenge, Jealousy","Firearm, Asphyxiation",No,No,Yes,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",The love affair between Sarah and Pierre,Testimonial clue,The behaviour of Sarah at the theatre,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,https://drive.google.com/open?id=13cDWelO44W6yIGVXd7hoh_Vc4HVF9duo,Qrime → same qrime,"That Pierre Verne slew poor, misguided Sarah Giles there was not the shadow of a doubt. But did he slay David Sandeman? it will be asked."
2021-07-12T15:40:07Z,MAL,JM,ATT12,The Sign of the Yelllow Star,"When an American with a habit of disappearing befriends Mr. Duff, he is startled by his strange star-like insignia. What does it represent and does it have anything to do with numerous thefts in the area?",JEPM,NA,Reverse,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,4,1,0,0,No,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Assault, Kidnapping, Breaking and entering",Greed,Unknown,No,No,No,Usable in real time (usable → usable),The advertisement of the newspaper,Physical clue,The strange behaviour of Risdom Tillstone,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1D2qjV25w2gVPeHOh6BlA2CXPFT0JejUt,Qrime → different qrime,"Altogether it was a pretty puzzle that Tatlock was asked to solve, and though with his usual caution he refrained from expressing any opinion, he was quite sanguine of being able to clear up the mystery, and he set himself to try and find a key to the advertisements which Duff had observed."
2021-07-12T15:55:23Z,MAL,JM,ATT13,Tracked by Teeth,"When the body of a woman is discovered in the wardrobe of her landlady’s chamber, everyone suspects the foreign couple who have disappeared without a trace. It’s up to Tyler Tatlock to determine whose artificial teeth were left on the floor.",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,,1,1,0,0,No,Acts together with one or more equal partners,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Fraud",Greed,Knife/sword,Yes,Yes,Yes,Usable in real time (usable → usable),False teeth,Physical clue,The behaviour of the culprits,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1zKxyrHPwy9OHdn4AMIutQX0n1uJ63SLt,Qrime → same qrime,"“The information thus furnished from Milan on the face of it corroborated Tatlock's theory that the murder was the result of a deep and organised plan, and his deductions now carried him several steps further.”"
2021-07-12T16:06:00Z,MAL,JM,ATT14,The Band of Three,"A rich woman is violently killed and robed in a train, between Avignon and Orange. Her courier, who was sitting right in front of her in the wagon, is shocked but still able to describe the aggression. He accuses two men they had met a few days before at the Monte Carlo casino. The manhunt has started….",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,,2,1,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Assault",Greed,Knife/sword,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The culprit could not have jumped off the train,Testimonial clue,Impossible to find the 2 suspects described by the courier,Testimonial clue,The story of the two men told by the courier,Testimonial clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1N5LUAxYqCl9FF-8FdOr6oRjYYgad7pzq,Qrime → same qrime,My theory is that the two men are phantoms.'
2021-07-12T16:17:07Z,MAL,JM,ATT15,An Unsolved Problem,"Manchester is explosive with gossip after a man is found dead in a family hotel, right before an attempt was made to blow up the local jail. Some recall the man arguing with a mysterious woman in the theater but she is nowhere to be found! Can Tatlock find the link between these two crimes?",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,,,,1,1,0,0,No,Acts on behalf of a crime syndicate,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Mischief",Ideology,Poison,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The handkerchief and the chloroform bottle found in the drawers,Testimonial clue,The heavy bag carried by the victim,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",No,No,No,1,No,https://drive.google.com/open?id=1lVw7UbrNVVYUsCEYVwy6-a7ZtjgGyep6,Qrime → different qrime,"“The syllogism Tatlock propounded to himself when he started on this Manchester case was: First, Reinhardt had been murdered. “"
2021-07-12T16:30:37Z,MAL,JM,ATT16,The New Tenant,"David Robb and Israel Behrens are not only business patterns but also live, work and eat constantly together, and they have been doing so for years. One day, to everybody’s surprise, Israel does not come to work with David, and all the money the two men possessed has disappeared from their house. Murder? Betrayal? Tyler Tatlock is hired by David to find his partner and his money.",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,,,,1,0,0,0,No,Acts alone,"The police, A private client","Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Assault","Greed, Paranoia",Unknown,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The wooden case,Physical clue,The suspect behaviour of Robb,Physical clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,https://drive.google.com/open?id=1henMM96S-u1w6DOsVUwucGfOcS6bLUN0,Qrime → different qrime,"Suddenly, and without any preliminary warning, Robb sprang at the other, and with a knife he had concealed hacked at Samuel's throat."
2021-07-12T17:21:22Z,MS,AMB,ATT09,With a Passing Glory,"(Racism) Josiah Woodfield Bell Flowers, with his picturesque name and appearance, has descended upon London with the investment opportunity of a lifetime. And now he wants to marry millionaire Mr. Clarges’s daughter. But who is Bell Flowers, really?",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation",Fraud,Greed,NA,Yes,Yes,Yes,Usable in real time (usable → usable),Caretaker's testimony and recognition of Josiah Flowers's portrait.,Testimonial clue,"Josiah Woodfield Bell Flowers’s talk of immense profit, unsubstantiated by any reports.",Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1UYXwxvh3Ep4CltY679x_udnosYWSuwta,No qrime → qrime,"Nothing, I'm afraid, that is likely to cause you any gratification."
2021-07-12T17:28:31Z,SO,WW,CKS01,The Case of Helen Bond (The Silent Cracksman),"A millionaire steel magnate is found dead of apoplexy the night someone breaks into his safe—though its contents are untouched. Is this an innocuous death, or is something else at work? Something that would require the work of a master safe breaker?",ABR,NA,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,0,1,0,0,No,Acts alone,A private client,Police are not present,Crime,Before the investigation,"Suspected murder, Theft, Forgery, Breaking and entering","Greed, Love",Natural causes,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The psychoanalytical word-association exercise of Helen Bond,Testimonial clue,"European advancements in safe-cracking and rubber, in context of Helen Bond's prior visits to Europe",Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,https://drive.google.com/open?id=1K8AJ681DwOHy-CpVYxV_S_7VNbGpt58r,Qrime → same qrime,"""Miss Bond,"" he said in a voice that forced attention—it was low and vibrating with feeling—""Miss Bond, have you ever told a lie to shield a friend?"""
2021-07-12T17:40:15Z,MS,AMB,CKS03,The Bacteriological Detective,The beautiful Miss Eveline Bisbee seeks Craig Kennedy’s help when her wealthy guardian dies of typhoid. Is there a new outbreak of typhoid in the city- or is there something more sinister afoot?,ABR,NA,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,3,0,,,,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Fraud, Forgery",Greed,"Indirectly, by an elaborate device, Other",Yes,Yes,Yes,"Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Handwriting on both the will and the recommendation letter indicated heart disease, which Mr. Bisbee did not suffer from.",Physical clue,"The modifications to the will, which benefited James Denny.",Testimonial clue,Bridget handled the water bottles in which typhoid bacteria was found.,Physical clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1xi4ZDkUFMWiHYoGSDjqcJigDBy85sms0,No qrime → qrime,"Promptly at nine we were assembled, a curious crowd."
2021-07-12T22:27:04Z,CC,SK,PVDS44,The Mystery of the Grip of Death,"When a man is suddenly found murdered naked in a closed room with no possible exits, the Thinking Machine delves into this case of love and absurdity as we read one of Futrelle’s most unpredictable stories yet.",JF,NA,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,0,0,0,0,NA,NA,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,Before the investigation,Suspected murder,Love,"Asphyxiation, Accident",Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The rats in the building,Physical clue,The fact the doors were closed when the man died,Physical clue,The argument between Cunningham and Boyd,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1xm8ZQk4I0K-zW1RXmGSwzwx4STw61LH7,Qrime → no qrime,"""Well, who did kill Boyd?"" asked Hatch, amazed."
2021-07-12T22:35:21Z,CC,SK,PVDS45,The Mystery of the Man Who Was Lost,"Suddenly finding himself in a hotel room with an unfamiliar name and $10,000 in cash, the victim has no idea who he is or what kind of predicament led to his current situation; that’s for Professor Dusen to find out.",JF,NA,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,2,1,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Fraud, Assault, Forgery",Greed,NA,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The telegram that Mr.Bell was at the city,Physical clue,The shoes under the name of Preston Bell,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1WcjkxT3UVrBKMWFE7khybfiBekAnjflG,No qrime → qrime,"""Put your best man to follow her,"" he directed rapidly."
2021-07-12T22:43:31Z,CC,SK,PVDS46,The Mystery of a Studio,"When the subject of one of the most praised art pieces of London suddenly disappears, the Thinking Machine once again uses his deductive skills to make sense of a jealous lover’s mysterious letter and a sudden burglary.",JF,NA,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,2,1,,,,2,0,0,0,No,Acts alone,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Kidnapping, Breaking and entering","Jealousy, Love, Pride","Poison, Firearm",Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The door being burst in during the robbery,Physical clue,Grace’s resemblance to the painting,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,https://drive.google.com/open?id=1QH3-UlL-cPTVEKYkRJwk_FmiWjvb92eI,Qrime → same qrime,"""Now, Mr. Hatch, I suppose you want some details,"" said The Thinking Machine, as he relapsed into his accustomed attitude."
2021-07-12T22:54:47Z,CC,SK,PVDS47,The Mystery of the Ralston Bank Burglary,"When money suddenly goes missing from a bank safe, and a man is found beaten almost to death, questions arise and nobody is to be trusted. Who was responsible for this robbery, and what does violet perfume have to do with it?",JF,NA,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,0,,,,3,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Fraud, Mischief, Breaking and entering",Greed,NA,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The violet perfume on the handkerchief,Physical clue,The disheveled apartment,Physical clue,NA,NA,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,https://drive.google.com/open?id=12aSUx8mNOf_2lyiehviQzmtQMzjzivmE,Qrime → same qrime,"That night the little ""party"" was held in the apartments of The Thinking Machine."
2021-07-12T23:02:38Z,CC,SK,PVDS48,The Mystery of the Scarlet Thread,"A man is nearly murdered by a gas leak in his apartment on four separate occasions, and a young French maid in the same building is found dead of the same cause. Who is responsible for this crime? This story will leave you hanging by a thread!",JF,NA,Standard,Augustus Van Dusen,Male,Independent amateur,NA,NA,NA,NA,Hutchinson Hatch,Male,Independent amateur,NA,NA,NA,NA,1,1,,,,1,1,0,0,No,Acts mostly alone with some assistance,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Blackmail, Assault","Jealousy, Pride","Firearm, Asphyxiation",Yes,No,No,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The thread from the bathrobe,Physical clue,"The valet being french, along with the maid",Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,https://drive.google.com/open?id=12FawB6FNho4EgGz5wvrYBxS_KXTesGxt,Qrime → same qrime,For a long time no one spoke. The Thinking Machine had dropped back into a chair and was staring through his thick glasses at the ceiling; his finger tips were pressed tightly together.
2021-07-12T23:07:01Z,CC,SK,ATT01,The Queensferry Mystery,"After a series of serious burglaries, ranging from missing jewelry to valuable silver being stolen, Detective Tatlock comes to the scene to help Mrs. Bertha Wylie recover her goods. However, twist after turn, we soon find out that things may be a lot more complicated than expected.",JEPM,NA,Standard,Tyler Tatlock,Male,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,,,1,1,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Theft, Assault, Breaking and entering",Greed,NA,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The interview with Mrs. Wylie,Testimonial clue,Mrs. Wylie’s suspicious behaviour,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,https://drive.google.com/open?id=1Sb8ELjnjbS2XMGAwAVDqQNzuZwkGPWnY,Qrime → same qrime,That afternoon Tyler Tatlock entered Mr. Scott's office.
2021-07-16T08:25:06Z,MS,SK,CKS15,The Master Counterfeiter,"Tom Burke of the Secret Service comes to Craig Kennedy with three masterful counterfeits- a hundred dollar bill, a five-pound note, and an express-money order- and a strange tale of a man whose fingerprints did not match, the second time he was arrested. How can this couple lead a counterfeit scam in daylight and yet manages to elude capture?",ABR,NA,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,0,0,,,,1,1,0,0,No,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Fraud, Assault, Forgery",Greed,NA,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Lump of paraffin found in the drawer.,Physical clue,Items found in the drawer of the Riverwood house.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1VAOHc5hZ-7mqaH1STEfztu5jvYC61rcY,Qrime → same qrime,"""Here,"" he began, ""we have the finger-prints of a man who was one of the most noted counterfeiters in Great Britain."
2021-07-16T09:02:51Z,MS,SK,CKS16,The Firebug (The Firefiend),"A curious epidemic of fires takes over London, lacking any possible criminal or clear motive. Chief Fire Marshall McCormick thinks it’s a firebug- a pyromaniac who sets fires for the sheer joy of destruction. But why is he targeting all the buildings controlled by Staceys, the department-store firm?",ABR,NA,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,2,1,,,,6,1,0,0,No,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Fraud, Mischief","Greed, Revenge, Paranoia","Arson, Knife/sword",Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Notes given in favour of Rebecca Wend, signed by Joseph Stacey.",Physical clue,The murder of Rebecca Wend.,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1pifrkwg_-WLNnMsOARcrnBVVlPRO0tXY,Qrime → same qrime,"WHEN next I saw Kennedy it was late in the afternoon, in the laboratory."
2021-07-16T09:38:24Z,MS,SK,CKS17,The Yeggman,"When a string of pearls worth a million francs are stolen, leaving behind a chloroformed maid and a blown out safe, Professor Kennedy delves into the case only to cross paths with one of the most ingenious and unexpected criminals yet. Strangely, Mrs. Branston doesn’t seem very keen to have the pearls returned.",ABR,NA,Standard,Craig Kennedy,Male,Independent amateur,NA,NA,NA,NA,Walter Jameson,Male,Independent amateur,NA,NA,NA,NA,4,2,,,,4,0,0,0,No,Acts mostly alone with some assistance,A private client,Police are present and contribute significantly to solving the crime,Crime,Before the investigation,"Murder, Theft, Assault, Kidnapping, Breaking and entering",Greed,Accident,No,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Photo of Maloney planting pearls in the safe.,Physical clue,Gay Cat's testimony regarding a big haul.,Testimonial clue,"Mrs. Branston doesn’t cooperate with the investigation, and doesn’t seem keen on having those pearls returned.",Testimonial clue,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1J0GUdSCha2iW__uc2fpbQMRZqw-vlzVa,Qrime → same qrime,I caught myself as in a dream.
