Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
NA,3,"A man is murdered in his apartment with an awkwardly twisted dagger, and police are confused about how this could have occurred because there were no signs of entrance in the apartment! A dark past sheds new light on this investigation.",Independent amateur,Physical clue,JTC07,Planted,"Before the investigation, During the investigation",Standard,NA,"""You look surprised,"" he continued (which was undoubtedly true), ""but yet the whole thing is exceedingly obvious.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,"Murder, Fraud",Yes,MAL,Yes,Christopher Jervis,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,AF,The Aluminium Dagger,NA,The ink found in the home of Barlow,1,Acts alone,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Knife/sword, Firearm",Barlow’s physical description,No,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,John Evelyn Thorndyke,1905-03-23 00:00:00+00:00,Book,John Thorndyke's Cases,Freeman,Austin,M,1905,Qrime_to_same_qrime
Suspect's hair in the hand of the deceased,3,"After a young German girl is found murdered in her sleep with sand by her pillow, and a lock of red hair in her grip, Thorndyke’s medical skills are called to the frontline by determining who in a young love triangle could be responsible for committing such a savage crime.",Independent amateur,Physical clue,JTC08,Fabricated,"Before the investigation, After the investigation",Standard,NA,"""I think,"" said Thorndyke, ""that it will save time if I give you the facts in a connected order.""",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,"Murder, Assault, Breaking and entering",Yes,MAL,Yes,Christopher Jervis,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,AF,A Message from the Deep Sea,NA,The “sand”,1,Acts alone,1,Male,No,No,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,Testimony regarding Petrofsky’s relation to the deceased,No,Qrime → same qrime,NA,"Revenge, Jealousy",NA,0,Male,Crime,John Evelyn Thorndyke,1905-03-23 00:00:00+00:00,Book,John Thorndyke's Cases,Freeman,Austin,M,1905,Qrime_to_same_qrime
NA,3,"Discover how Thorndyke and Jervis solve the brutally staged murder of a diamond merchant after experiencing the harrowing crime first: how a marriage of forensics and common sense might shed light on the body left by the train tracks, and the meaning of oatmeal biscuits.",Independent amateur,Physical clue,TSB01,Fabricated,During the investigation,Reverse,NA,"The singular circumstances that attended the death of Mr. Oscar Brodski, the well-known diamond merchant of Hatton Garden, illustrated very forcibly the importance of one or two points in medico-legal practice which Thorndyke was accustomed to insist were not sufficiently appreciated.",NA,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,CC,0,"Murder, Theft",NA,MAL,NA,Christopher Jervis,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",0,NA,AF,The Case of Oscar Brodski,NA,The carpet of Silas’ home,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Asphyxiation, Blunt force trauma",The diamonds that have gone missing,NA,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,John Evelyn Thorndyke,1905-03-26 00:00:00+00:00,Book,The Singing Bone,Freeman,Austin,M,1905,Qrime_to_same_qrime
NA,2,A ‘reformed’ criminal’s conscience is challenged when their comfortable life is at risk of being exposed by an enemy of the past. Thorndyke is called to investigate the complicated premeditations of an intelligent crime involving blackmail and dead rats.,Independent amateur,Physical clue,TSB02,Fabricated,Before the investigation,Reverse,NA,"“Let us have the particulars,” said Thorndyke, taking a writing-pad from a drawer and dropping into his armchair. “Begin at the beginning,” he added, “and tell us all you know.”",NA,NA,NA,NA,NA,Independent amateur,Testimonial clue,No,CC,0,"Murder, Blackmail",NA,MAL,NA,Christopher Jervis,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",0,NA,AF,A Case of Premeditation,NA,The fingerprints,2,Acts alone,0,Male,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,Knowledge of the blackmail,NA,Qrime → same qrime,NA,"Greed, Revenge, Pride",NA,2,Male,Crime,John Evelyn Thorndyke,1905-03-26 00:00:00+00:00,Book,The Singing Bone,Freeman,Austin,M,1905,Qrime_to_same_qrime
NA,3,Young Mr. Edenborough seeks John Dollar's assistance with insomnia on the week of his wedding. Dollar learns that Edenborough is suspected of leaking classified drawings. Can Dollar find the culprit before this shadow of treason ruins the upcoming nuptials?,NA,Testimonial clue,TCD04,NA,"Before the investigation, During the investigation",Standard,NA,"""You are not the first man, my dear Edenborough,""",No,NA,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,No,WW,0,"Theft, Fraud",Yes,AMB,Yes,NA,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,EWH,The Golden Key,NA,Dollar's interview with Rocchi.,1,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,NA,Edenborough's fiance Lucy Trevelyan's interest in drawing.,No,Qrime → no qrime,NA,Ideology,NA,0,NA,NA,John Dollar,1905-03-28 00:00:00+00:00,Book,The Crime Doctor,Hornung,Ernest William,M,1905,Qrime_to_no_qrime
NA,2,"After a dissolute young gentleman on holiday is prescribed an amount of strychnine that would kill him, a community casts aspersions upon his doctor. However, John Dollar suspects that the prescription is a forgery.",NA,Testimonial clue,TCD05,Fabricated,"Before the investigation, During the investigation",Standard,NA,"""I have not forgot anybody, Mr. Scarth.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,WW,0,"Murder, Forgery",Yes,AMB,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,EWH,A Schoolmaster Abroad,NA,"The will, leaving Mostyn Scarth a large amount of Jack Laverick's fortune.",1,Acts alone,0,Male,Yes,Yes,Yes,A private client,Police are not present,NA,"Poison, Tampering",Scarth's role as Laverick's handler.,No,Qrime → different qrime,NA,Greed,NA,1,NA,Crime,John Dollar,1905-03-28 00:00:00+00:00,Book,The Crime Doctor,Hornung,Ernest William,M,1905,Qrime_to_different_qrime
NA,3,"General Dysone, a retired soldier formerly stationed in India, approaches Dr. John Dollar about the peculiar behaviour of his wife. Mrs. Dysone has begun carrying a revolver on her at all times and recently adopted a fierce bulldog.",NA,Physical clue,TCD06,NA,"Before the investigation, During the investigation",Standard,NA,"You know what he is as well as I do, Mrs. Dysone; you may thank God a doctor has found him out before the police!",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,WW,0,"Murder, Assault",No,AMB,No,NA,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,EWH,One Possessed,NA,The statue of “Bhowanee” on top of the General’s bureau and books in his library.,1,Acts alone,0,Male,Yes,Yes,Yes,A private client,Police are not present,NA,Asphyxiation,The General was bitten by his wife's dog shortly before she shot the dog.,No,No qrime → qrime,NA,Insanity,NA,2,NA,Crime,John Dollar,1905-03-28 00:00:00+00:00,Book,The Crime Doctor,Hornung,Ernest William,M,1905,No_qrime_to_qrime
NA,4,"When a man finds himself in a mysterious house full of wailings and a possible ghost, how is the Thinking Machine to make sense of this gothic and inexplicable elements? As we trudge on, we are once again reminded of the professor’s mind-boggling deductive finesse.",Independent amateur,Physical clue,PVDS34,NA,Before the investigation,Standard,NA,"Harold Fairbanks sat beside The Thinking Machine in the second seat of a huge touring car, with the slender hand of the scientist resting lightly on his wrist.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Assault, Breaking and entering",No,JM,No,Hutchinson Hatch,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,The Grinning God,NA,The shining statue,1,Acts alone,1,Male,No,Yes,Yes,The assistant(s),Police are not present,NA,NA,Fairbanks' reaction to the statue,No,No qrime → qrime,NA,"Paranoia, Self-defence",NA,1,Male,Crime,Augustus Van Dusen,1907-12-01 00:00:00+00:00,Book,Tales of the Thinking Machine and Other Stories,Futrelle,Jacques,M,1907,No_qrime_to_qrime
The letters received by the mother asking money in exchange of her child,4,"A baby suddenly disappears, leaving behind an incomplete single trail of footsteps in the snow. This is then followed by ransom notes and a myriad of possible culprits, only to result in the most bizarre and interesting reveal yet.",Independent amateur,Physical clue,PVDS35,NA,"Before the investigation, During the investigation",Standard,NA,"""Good,"" said the other, and he rubbed his slender hands together briskly. ""Sit down, Mr. Hatch. It was a little better after all than I hoped for. Now your story first. What happened when the baby was brought back home?""",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Suspected murder, Bribery, Kidnapping",Yes,JM,No,Hutchinson Hatch,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",2,NA,JF,The Disappearance of Baby Blake,NA,The picture book and the picture of the monkey in it,2,Acts mostly alone with some assistance,0,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The baby going outside wanting to touch the snow,No,Qrime → different qrime,NA,"Greed, Paranoia",NA,1,Male,Crime,Augustus Van Dusen,1907-12-08 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,Qrime_to_different_qrime
NA,1,"Prince Otto Ludwig, heir to the throne of Germania-Austria has mysteriously disappeared from the suite he occupied on his way back from visiting the United States. Augustus Van Dusen’s help is necessary to find the Prince and avoid a political scandal that could change the fate of Germania-Austria.",Independent amateur,NA,PVDS36,Fabricated,"Before the investigation, During the investigation",Standard,NA,"""It's all right,"" he said. ""We'll go aboard ship now.""",No,NA,NA,NA,NA,Independent amateur,NA,No,SK,0,"Fraud, Bribery, Assault",No,JM,No,Hutchinson Hatch,NA,0,NA,0,NA,JF,The Mystery of Prince Otto,NA,NA,1,Acts alone,0,Male,Yes,No,Yes,A private client,Police are not present,NA,NA,NA,No,Qrime → different qrime,NA,Greed,NA,0,Male,Crime,Augustus Van Dusen,1912-07-01 00:00:00+00:00,Journal,Cassell's Magazine of Fiction,Futrelle,Jacques,M,1912,Qrime_to_different_qrime
NA,2,"For three days, Peter Orday, an extremely wealthy man, receives messages that only contain the sentence “One Million Dollars!”. The millionaire hires a detective but is eventually murdered on his sofa. Was his fear of water connected to this case?",Independent amateur,Testimonial clue,PVDS37,NA,Before the investigation,Standard,NA,"First""— the petulant blue eyes were raised toward the ceiling; the slender fingers came together precisely, tip to tip —""first: Why did you kill Peter Ordway?",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Murder, Blackmail, Breaking and entering",Yes,JM,Yes,Hutchinson Hatch,NA,0,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,The Tragedy of the Life-Raft,NA,Peter Ordway’s fear of water,2,Acts alone,0,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Firearm, Asphyxiation",Mr.Holderby's behaviour,No,Qrime → same qrime,NA,Greed,NA,2,Male,Crime,Augustus Van Dusen,1912-08-01 00:00:00+00:00,Journal,Popular Magazine,Futrelle,Jacques,M,1912,Qrime_to_same_qrime
NA,3,"When two completely unrelated people, a woman of higher aristocratic society and a longshoreman, both die of an inexplicable breath derivation with no signs of strangling, Dusen must use his experience in science to make sense of this case.",Independent amateur,Physical clue,PVDS38,Fabricated,"Before the investigation, During the investigation",Standard,NA,"The Thinking Machine shrugged his shoulders, and was silent. A moment later the door opened, and Martha appeared, her eyes blazing with indignation.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Murder, Breaking and entering",No,JM,No,Hutchinson Hatch,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,The Case of the Scientific Murderer,NA,The odor of drug on the handkerchief,1,Acts alone,1,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Asphyxiation,"The Thinking Machine shrugged his shoulders, and was silent. A moment later the door opened, and Martha appeared, her eyes blazing with indignation.",No,Qrime → same qrime,NA,Greed,NA,2,Male,Crime,Augustus Van Dusen,1912-09-01 00:00:00+00:00,Journal,Popular Magazine,Futrelle,Jacques,M,1912,Qrime_to_same_qrime
NA,5,How will 3 intelligent birds play into the cunning schemes of a master criminal? Dusen uncovers this bizarre case as he traces the true culprit behind this crime of fraud and deception.,Independent amateur,NA,PVDS39,NA,Before the investigation,Reverse,NA,"So ultimately it came to pass that The Thinking Machine—more properly, Professor Augustus S.F.X. Van Dusen, Ph.D., F.R.S., M.D., LL.D., et cetera, et cetera, logician, analyst, and master mind in the sciences—turned his crabbed genius upon the problem.",No,NA,NA,NA,NA,Independent amateur,NA,No,SK,0,Theft,NA,JM,NA,Hutchinson Hatch,NA,0,NA,0,NA,JF,The Jackdaw,NA,NA,1,Acts alone,5,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,NA,NA,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,Augustus Van Dusen,1912-09-15 00:00:00+00:00,Journal,Popular Magazine,Futrelle,Jacques,M,1912,Qrime_to_same_qrime
NA,3,How can one be both alive and dead? This question is explored as the Thinking Machine must make sense of the death of a famous Miss Melrose as well as the complex love affairs that surround the case.,Independent amateur,Physical clue,PVDS40,NA,Before the investigation,Standard,NA,"""I'm going to make a request, Mr. Mallory,"" said The Thinking Machine. ""I know it will be a cause of pleasure to Mr. Reid. It is that you release Mr. Curtis, who is charged with the murder of Miss Melrose.""",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Suspected murder, Fraud",No,JM,No,Hutchinson Hatch,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,The Great Auto Mystery,NA,The belt with initials on the body,0,NA,0,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Jack Curtis thinks he has seen Marguerite after her murder,No,Qrime → different qrime,NA,"Love, Pride",NA,0,Male,Crime,Augustus Van Dusen,1905-03-21 00:00:00+00:00,Book,The Thinking Machine,Futrelle,Jacques,M,1905,Qrime_to_different_qrime
NA,3,"Complicated family relationships? Poetic letters? When a man dies leaving behind a myserious note, the Thinking Machine must enter the case in order to make sense of what seems to be a murder.",Independent amateur,Physical clue,PVDS41,Fabricated,During the investigation,Standard,NA,"""I'm going to make a request, Mr. Mallory,"" said The Thinking Machine. ""I know it will be a cause of pleasure to Mr. Reid. It is that you release Mr. Curtis, who is charged with the murder of Miss Melrose.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Suspected murder, Theft, Fraud, Assault, Forgery",Yes,JM,No,Hutchinson Hatch,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,JF,The Mystery of the Fatal Cipher,NA,The akwardness of the dad's letter,0,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,NA,The bad relationship between the adopted daughter and the brother,No,Qrime → different qrime,NA,"Greed, Revenge",NA,1,Male,Crime,Augustus Van Dusen,1907-02-03 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,Qrime_to_different_qrime
NA,3,"Hatch Hutchinson is sent by his editor to cover the story of a haunted house occupied by a ghost that terrorizes an entire village. While the journalist goes there thinking it is a simple joke, he runs away on the first night, terrified by a flaming phantom…",Independent amateur,Testimonial clue,PVDS42,NA,"Before the investigation, During the investigation",Standard,NA,"The Thinking Machine changed his position slightly, readjusted his thick glasses for a long, comfortable squint, and told the story, from the beginning, as he always told a story. Here it is:",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Theft, Fraud, Assault, Breaking and entering",Yes,JM,No,Hutchinson Hatch,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,The Mystery of the Flaming Phantom,NA,The jewels in the house,2,Acts alone,0,Male,Yes,Yes,Yes,The assistant(s),Police are not present,NA,Unknown,The cousin owning a boat,No,No qrime → qrime,NA,Greed,NA,4,Male,Crime,Augustus Van Dusen,1905-03-21 00:00:00+00:00,Book,The Thinking Machine,Futrelle,Jacques,M,1905,No_qrime_to_qrime
NA,3,"When the dead body of a young girl is discovered lying with a unique golden dagger, all evidence points towards its owner. However, with a complete unexpected turn in events, we soon find out that matters are actually far more complicated than they seem.",Independent amateur,Physical clue,PVDS43,NA,Before the investigation,Standard,NA,"Meanwhile, you have the real murderer in Charlestown prison now.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Theft, Assault, Breaking and entering",No,JM,No,Hutchinson Hatch,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,The Mystery of the Golden Dagger,NA,The imprints of the piano on the cellar's floor,3,Acts on behalf of a crime syndicate,1,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,The repeated thefts in the neighbourhood,No,Qrime → same qrime,NA,Greed,NA,0,Male,Crime,Augustus Van Dusen,1905-03-21 00:00:00+00:00,Book,The Thinking Machine,Futrelle,Jacques,M,1905,Qrime_to_same_qrime
NA,3,"Mort Dolan, bank robber by profession, has once again managed to steal a sizable sum. But when a minute oversight leads to his arrest, he is desperate to convey to his wife Belle where he has hidden the money.",Independent amateur,Testimonial clue,PVDS14,NA,Before the investigation,Standard,NA,"It went further back than that,",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,MS,0,Theft,Yes,WW,No,Hutchinson Hatch,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",0,NA,JF,The Problem of the Stolen Bank Notes,NA,Dolan asks his wife to mend his brown coat.,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Dolan asks his wife to mend his brown coat.,No,Qrime → same qrime,NA,"Greed, Love",NA,0,Male,Crime,Augustus Van Dusen,1906-11-18 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1906,Qrime_to_same_qrime
NA,4,"A young woman arrives at Dr. Prescott's practice, asking to have her perfectly healthy forefinger removed at the first joint. Although Prescott initially refuses, she forces his hand by injuring her finger. A day later, she is found murdered in her apartment.",Independent amateur,Physical clue,PVDS15,NA,During the investigation,Standard,NA,"""I have the photograph of her murderer in my pocket,"" returned The Thinking Machine. ""Also a photograph of an accomplice.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,MS,0,"Murder, Fraud",Yes,WW,No,Hutchinson Hatch,NA,0,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,JF,The Problem of the Superfluous Finger,NA,"The dead woman’s finger was amputated long ago, while Dr. Prescott had only recently performed the operation on his patient.",1,Acts together with one or more equal partners,1,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Poison, Asphyxiation",The patient's insistence on getting her finger amputated and the subsequent appearance of a dead body identifiable by an amputated finger.,No,No qrime → qrime,NA,Greed,NA,0,Male,Crime,Augustus Van Dusen,1906-11-25 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1906,No_qrime_to_qrime
NA,1,"The author narrates his own first meeting with Professor Agustus Van Dusen, the Thinking machine: As he strolls across the Boston Common, towards Beacon Hill, the author collapses suddenly, without apparent reason. Fortunately, Prof. Van Dusen happens to be close at hand.",NA,Physical clue,PVDS16,NA,Before the investigation,Standard,NA,"""You poisoned yourself,"" said The Thinking Machine again impatiently. ""You talk like a child.""",NA,NA,NA,Physical evidence,NA,Independent amateur,NA,No,MS,0,NA,No,WW,No,NA,NA,0,"Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,JF,My First Experience with the Great Logician,NA,The poison and cigars in his pocket.,0,NA,0,Male,No,Yes,Yes,The detective(s) themselves,Police are not present,NA,NA,NA,No,No qrime → no qrime,NA,NA,NA,0,NA,NA,Augustus Van Dusen,1907-01-20 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,No_qrime_to_no_qrime
NA,2,"After the strangulation of fourteen-year-old Mildred Barrett, the police stumped by this seemingly motiveless murder. The Thinking Machine claims that soon the crime will repeat itself.",NA,Physical clue,PVDS17,NA,"Before the investigation, During the investigation",Standard,NA,"""No,"" said the scientist again. ""I was going to tell you that James Gillespie attacked his brother Bartow, and attempted to strangle him—did strangle him;",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,MS,0,Murder,No,WW,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,JF,The Problem of the Knotted Cord,NA,"The old head injury and facial expression on the culprit’s body, indicating insanity.",1,Acts alone,1,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Firearm, Asphyxiation",The repetition of the same crime on unrelated victims.,No,Qrime → same qrime,NA,"Self-defence, Insanity",NA,2,NA,Crime,Augustus Van Dusen,1907-01-20 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,Qrime_to_same_qrime
NA,3,"One William C. Colgate approaches Augustus Van Dusen to decode a series of postcards of Washington, Boston, and New Orleans. Colgate suspects that these encrypted messages might have something to do with his recently stolen diamond.",Independent amateur,Physical clue,PVDS18,NA,Before the investigation,Standard,NA,"""Ah, Mr. Mallory,"" he said, without turning his head or glancing back. ""This is Mr. Bradlee Cunnyngham Leighton. You may have heard of him before?""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,MS,0,"Theft, Fraud",Yes,WW,No,Hutchinson Hatch,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",0,NA,JF,The Problem of the Souvenir Cards,NA,Hutchinson Hatch recognizes the man claiming to be William C. Colgate as Bradlee Cunnyngham Leighton.,2,Acts alone,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Colgate cannot decrypt the cipher.,No,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,Augustus Van Dusen,1907-02-03 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,Qrime_to_same_qrime
Mary's revolver,3,Two former classmates on a train ride ends with one being shot to death – death does apart Miss Julia Farrar from her lover before she is even married. Can the Thinking Machine solve this mystery? Will he rely on logic or hypnotism?,Independent amateur,Physical clue,PVDS24,Fabricated,Before the investigation,Standard,NA,"""They were asleep there. So that makes the affair perfectly clear.""",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SO,0,Murder,No,MAL,No,Hutchinson Hatch,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",0,NA,JF,Problem of the Private Compartment,NA,Charles Wingate’s telegraph cancelling the wedding,1,Acts alone,1,Male,No,Yes,Yes,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,Mary's hypnotized testimony,No,Qrime → same qrime,NA,"Revenge, Jealousy",NA,0,Male,Crime,Augustus S.F.X. Van Dusen,1907-04-28 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,Qrime_to_same_qrime
NA,4,"A distinguished character actor recalls his desperate role three years prior when he took on the appearance of an old man in exchange for 100 dollars, and his life. He never saw the perpetrators again and the whole riddle seems bizarre, but not to The Thinking Machine; danger awaits.",Independent amateur,Physical clue,PVDS25,NA,"Before the investigation, During the investigation",Reverse,NA,"Detective Mallory was at home in bed; but Detective Cunningham, another shining light, received his distinguished visitor and Hatch.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SO,0,"Fraud, Blackmail, Assault, Forgery, Kidnapping",Yes,MAL,Yes,Hutchinson Hatch,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,JF,The Problem of the Cross Mark,NA,Recipients of the will with crossed signature,3,Acts together with one or more equal partners,1,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The signing of a will while pretending to be an old man,No,Qrime → same qrime,NA,"Greed, Pride, Duress",NA,1,Male,Crime,Augustus S.F.X. Van Dusen,1907-05-12 00:00:00+00:00,Journal,Associated Sunday Magazine,Futrelle,Jacques,M,1907,Qrime_to_same_qrime
